file_urls,image_urls,name,price,url
,https://allo.uaNone,Ноутбук Acer Nitro 5 AN515-46 (NH.QGXEU.005),37 999,https://allo.ua/ua/products/notebooks/acer-nitro-5-an515-46-nh-qgxeu-005.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Acer Nitro 5 AN515-46 (NH.QGXEU.005),37 999,https://allo.ua/ua/products/notebooks/acer-nitro-5-an515-46-nh-qgxeu-005.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,37 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 (82K20212RA),31 999,https://allo.ua/ua/products/notebooks/lenovo-ideapad-gaming-3-15ach6-82k20212ra.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
